Name,Type,City,District,Ownership
SRM Degree & PG College,Degree College,Karimnagar,Karimnagar,Private Unaided
University PG College,University PG College,Godavarikhani,Karimnagar,University
Sree Chaitanya College & PG College,Degree & PG College,Karimnagar,Karimnagar,Private Unaided
SRM PG College,PG College,Chintakunta,Karimnagar,Private Unaided
Vikas Degree College,Degree College,Rathnapur,Karimnagar,Private Unaided
Shivani Degree & PG College,Degree & PG College,Karimnagar,Karimnagar,Private Unaided
Vidyalatha Degree College Of Commerce And Business Management,Degree College,Karimnagar,Karimnagar,Private Unaided
A K Vishwantha Reddy Degree College,Degree College,Mulkanoor,Karimnagar,Private Unaided
Vikas Degree College,Degree College,Sidhulawada,Karimnagar,Private Unaided
Gnanodaya Degree College,Degree College,Metpally,Karimnagar,Private Unaided
Ramakrishna Degree College,Degree College,Jagtial,Karimnagar,Private Unaided
Aurobindo Degree College,Degree College,Godavarikhani,Karimnagar,Private Unaided
Chanakya Degree College,Degree College,Jammikunta,Karimnagar,Private Unaided
Rashmidhar Teja Degree College,Degree College,Korutla,Karimnagar,Private Unaided
Gayatri Degree College,Degree College,Peddapalli,Karimnagar,Private Unaided
Gandhi Memorial Mahila Degree College,Degree College (Women),Godavarikhani,Karimnagar,Private Unaided
AK Vishwanatha Reddy Degree College,Degree College,Karimnagar,Karimnagar,Private Unaided
Vivekananda Degree College,Degree College,Husnabad,Karimnagar,Private Unaided
Narendra Degree College,Degree College,Metpally,Karimnagar,Private Unaided
Nalanda Degree College,Degree College,Jagtial,Karimnagar,Private Unaided
Sreenidhi Degree College,Degree College,Kurikyala,Karimnagar,Private Unaided
Kakatiya Degree College,Degree College,Jammikunta,Karimnagar,Private Unaided
Gayathri Degree College,Degree College,Jammikunta,Karimnagar,Private Unaided
Sri Vidya Jyothi Degree College,Degree College,Jagityal,Karimnagar,Private Unaided
Vodithala Srinivasa Rao Degree College,Degree College,Singapur,Karimnagar,Private Unaided
Vagdevi Degree College,Degree College,Vemulawada,Karimnagar,Private Unaided
Gnanodaya Degree College,Degree College,Raikal,Karimnagar,Private Unaided
Sri Mitra Degree College,Degree College,Mustabad,Karimnagar,Private Unaided
Navodaya Arts And Science Degree College,Degree College,Dharmapuri,Karimnagar,Private Unaided
SR & BGNR Government Arts & Science College (Autonomous),Government Degree College,Khammam,Khammam,Government
Govt. Degree College,Government Degree College,Nelakondapally,Khammam,Government
J.V.R. Government College (Autonomous),Government Degree College,Sathupally,Khammam,Government
Swarna Bharathi Institute Of Science & Technology (SBIT),Engineering College,Khammam,Khammam,Private Unaided
Sri Raja Rajeshwari Engineering College,Engineering College,Khammam,Khammam,Private Unaided
Bomma Institute of Technology and Science,Engineering College,Allipuram,Khammam,Private Unaided
Khammam Institute of Technology & Sciences (KITS),Engineering College,Khammam,Khammam,Private Unaided
Vazir Sultan Engineering College,Engineering College,Khammam,Khammam,Private Unaided
Mamta Medical College,Medical College,Khammam,Khammam,Private Unaided
Bomma Institute of Informatics,Management College,Allipuram,Khammam,Private Unaided
Manair College of Computer Science,Management College,Khammam,Khammam,Private Unaided
Mother Theresa Pharmacy College,Pharmacy College,Sathupally,Khammam,Private Unaided
Bomma Institute of Pharmacy,Pharmacy College,Allipuram,Khammam,Private Unaided
Bomma II Shift Polytechnic College,Polytechnic College,Allipuram,Khammam,Private Unaided
Govt. Degree College,Government Degree College,Asifabad,Kumuram Bheem Asifabad,Government
Govt. Degree College,Government Degree College,Kagaznagar,Kumuram Bheem Asifabad,Government
A MJPTPBCW Residential Degree College (Women),Residential Degree College (Women),Asifabad,Kumuram Bheem Asifabad,Government TBCW
Sri Chaitanya Degree College,Degree College,Rajampet,Kumuram Bheem Asifabad,Private Unaided
A Matrusri Degree College,Degree College,Asifabad,Kumuram Bheem Asifabad,Private Unaided
Vivekananda Degree College,Degree College,Kagaznagar,Kumuram Bheem Asifabad,Private Unaided
Sai Teja Degree College,Degree College,Borigaon (Kosini, Kaghaznagar),Kumuram Bheem Asifabad,Private Unaided
Vasundhara Degree College,Degree College,Sirpur Kaghaznagar,Kumuram Bheem Asifabad,Private Unaided
Sri Chaitanya Degree College,Degree College,Kowtala,Kumuram Bheem Asifabad,Private Unaided
Bishop Azaraiah Degree College,Degree College,Dornakal,Mahabubabad,Private Unaided
Maharshi Degree & PG College,Degree & PG College,Kesamudram,Mahabubabad,Private Unaided
Sri Aurobindo Degree College,Degree College,Kesamudram,Mahabubabad,Private Unaided
Sree Sree Veerabhadra Swamy Degree College,Degree College,Kuravi,Mahabubabad,Private Unaided
Vignana Bharathi Degree College,Degree College,Mahabubabad,Mahabubabad,Private Unaided
Vikas Degree College,Degree College,Mahabubabad,Mahabubabad,Private Unaided
Nalanda Degree College,Degree College,Mahabubabad,Mahabubabad,Private Unaided
Samaiyya Degree College,Degree College,Mahabubabad,Mahabubabad,Private Unaided
RJRM Degree College,Degree College,Maripeda,Mahabubabad,Private Unaided
Samatha Degree & PG College,Degree & PG College,Thorrur,Mahabubabad,Private Unaided
MJPTPBCW Residential Degree College (Women),Residential Degree College (Women),Mahabubabad,Mahabubabad,Government TBCW
MJPTPBCW Degree College (Men),Residential Degree College (Men),Palakurthi,Mahabubabad,Government TBCW
TTWRDC,Residential Degree College,Mahabubabad,Mahabubabad,Government Tribal Welfare
TTWRDC,Residential Degree College,Maripeda,Mahabubabad,Government Tribal Welfare
Margadarshi College of Education,B.Ed College,Mahabubabad,Mahabubabad,Private Unaided
Govt. Degree College,Government Degree College,Garla,Mahabubabad,Government
Govt. Degree College,Government Degree College,Kesamudram,Mahabubabad,Government
Govt. Degree College,Government Degree College,Maripeda,Mahabubabad,Government
Govt. Degree College,Government Degree College,Thorrur,Mahabubabad,Government
M.V.S. GDC (Autonomous) Mahabubnagar,Government Degree College,Mahabubnagar,Mahabubnagar,Government
Gayathri College of Elementary Teacher Education,Teacher Education (D.El.Ed),Wanaparthy,Mahabubnagar,Private Unaided
GSN College of Elementary Education,Teacher Education (D.El.Ed),Nagarkurnool,Mahabubnagar,Private Unaided
Krishna Institute of Teacher Education,Teacher Education (D.El.Ed),Mahabubnagar,Mahabubnagar,Private Unaided
Lakshmi Nagi Reddy College of Diploma in Elementary Education,Teacher Education (D.El.Ed),Jogulamba,Mahabubnagar,Private Unaided
Manasa College of Elementary Teacher Education,Teacher Education (D.El.Ed),Wanaparthy,Mahabubnagar,Private Unaided
Nagarjuna College of Teacher Education,Teacher Education (D.El.Ed),Wanaparthy,Mahabubnagar,Private Unaided
Nalanda Teacher Training Institution,Teacher Education (D.El.Ed),Mahabubnagar,Mahabubnagar,Private Unaided
Navabharathi College of Elementary Teacher Education,Teacher Education (D.El.Ed),Wanaparthy,Mahabubnagar,Private Unaided
Niveditha College of Elementary Teacher Education,Teacher Education (D.El.Ed),Wanaparthy,Mahabubnagar,Private Unaided
Noor College of Education,Teacher Education (D.El.Ed & B.Ed),Mahabubnagar,Mahabubnagar,Private Unaided
Palamoor Reddy Seva Samithi D.Ed. College,Teacher Education (D.El.Ed),Mahabubnagar,Mahabubnagar,Private Unaided
Pragathi College of Education,Teacher Education (D.El.Ed),Nagarkurnool,Mahabubnagar,Private Unaided
R.G. Reddy Teacher Training Institute,Teacher Education (D.El.Ed),Nagarkurnool,Mahabubnagar,Private Unaided
Sahithi College of Elementary Teacher Education,Teacher Education (D.El.Ed),Nagarkurnool,Mahabubnagar,Private Unaided
Sarvepally Radhakrishna Educational Society,Teacher Education (D.El.Ed),Mahabubnagar,Mahabubnagar,Private Unaided
Sharvani College of Elementary Teacher Education,Teacher Education (D.El.Ed),Wanaparthy,Mahabubnagar,Private Unaided
Srinivasa College of Elementary Education,Teacher Education (D.El.Ed),Jogulamba,Mahabubnagar,Private Unaided
St. Thomas College of Elementary Education,Teacher Education (D.El.Ed),Jogulamba,Mahabubnagar,Private Unaided
Ushodaya Elemntary Teacher Eduation Institution,Teacher Education (D.El.Ed),Wanaparthy,Mahabubnagar,Private Unaided
Venkata Sai Diploma in Elementary Education Institution,Teacher Education (D.El.Ed),Mahabubnagar,Mahabubnagar,Private Unaided
Vishvabharathy College of Elementary Education,Teacher Education (D.El.Ed),Wanaparthy,Mahabubnagar,Private Unaided
Vivekananda College of Elementary Education,Teacher Education (D.El.Ed),Rangareddy,Mahabubnagar,Private Unaided
Govt. Degree College,Government Degree College,Bellampally,Mancherial,Government
Govt. Degree College,Government Degree College,Chennoor,Mancherial,Government
Govt. Degree College,Government Degree College,Luxettipet,Mancherial,Government
Govt. Degree College,Government Degree College,Mancherial,Mancherial,Government
TSWRDCW,Residential Degree College (Women),Mancherial,Mancherial,Government TSWRDC
Vagheshwari Degree College,Degree College,Luxettipet,Mancherial,Private Unaided
Vaishnavi Womens Degree College,Degree College (Women),Luxettipet,Mancherial,Private Unaided
Mukharam Agarwal Memorial Mancherial Vidyaniketan (MVN) Degree,Degree College,Mancherial,Mancherial,Private Unaided
Vivekavardhini Degree College,Degree College,Mancherial,Mancherial,Private Unaided
Nalanda Degree College,Degree College,Mancherial,Mancherial,Private Unaided
Chaitanya Degree College,Degree College,Mancherial,Mancherial,Private Unaided
Ramanujan Institute of Mathematical Science (RIMS) Degree College,Degree College,Mancherial,Mancherial,Private Unaided
Vaagdevi Degree College,Degree College,Mancherial,Mancherial,Private Unaided
Sri Harsha Degree College,Degree College,Mancherial,Mancherial,Private Unaided
Singareni Mahila Degree College,Degree College (Women),Mandamrari,Mancherial,Private Unaided
Shivani Arts & Science Degree College (Co-Education),DEGREE COLLEGE (Women),Mandamrari,Mancherial,Private Unaided
Carmel Degree College,Degree College,Kalyani Khani (Mandhamarri),Mancherial,Private Unaided
C.V. Raman Degree & PG College,Degree & PG College,Mancherial,Mancherial,Private Unaided
Vidya Bharathi Degree College,Degree College,Tandur,Mancherial,Private Unaided
Aruna Bai D.Ed, College,Teacher Education (D.El.Ed),Medak,Medak,Private Unaided
BMR College of Education,Teacher Education (D.El.Ed & B.Ed),Medak,Medak,Private Unaided
Brilliant Minds and Resources D.Ed., College,Teacher Education (D.El.Ed),Medak,Medak,Private Unaided
Deccan College of D.Ed,Teacher Education (D.El.Ed),Medak,Medak,Private Unaided
Ellenki College of Teacher Training Education,Teacher Education (D.El.Ed),Medak,Medak,Private Unaided
Gajwel College of Education,Teacher Education (D.El.Ed & B.Ed),Medak,Medak,Private Unaided
GMR D.Ed College,Teacher Education (D.El.Ed),Medak,Medak,Private Unaided
Islamia Teacher Training,Teacher Education (D.El.Ed),Medak,Medak,Private Unaided
K. Narayana Memorial College of Education,Teacher Education (D.El.Ed),Medak,Medak,Private Unaided
Kingston Institute of Elementary Teacher Education,Teacher Education (D.El.Ed),Medak,Medak,Private Unaided
MNR Elementary Teacher Education College,Teacher Education (D.El.Ed),Medak,Medak,Private Unaided
Noble D.Ed College,Teacher Education (D.El.Ed),Medak,Medak,Private Unaided
Sri Kethaki Sangameshwara D.Ed College,Teacher Education (D.El.Ed),Medak,Medak,Private Unaided
St. Mary's D.Ed College,Teacher Education (D.El.Ed),Medak,Medak,Private Unaided
ACE Engineering College,Engineering College,Ankushapur (Ghatkesar),Medchal Malkajgiri,Private Unaided
Anurag College of Engineering,Engineering College,Aushapur (Ghatkesar),Medchal Malkajgiri,Private Unaided
CMR College of Engineering and Technology,Engineering College,Kandlakoya,Medchal Malkajgiri,Private Unaided
CMR Engineering College,Engineering College,Kandlakoya,Medchal Malkajgiri,Private Unaided
CMR Institute of Technology,Engineering College,Kandlakoya,Medchal Malkajgiri,Private Unaided
CMR Technical Campus,Engineering College,Kandlakoya,Medchal Malkajgiri,Private Unaided
Geethanjali College of Engineering & Technology,Engineering College,Cheeryal (Keesara),Medchal Malkajgiri,Private Unaided
Gokaraju Rangaraju Institute of Engineering & Technology (GRIET),Engineering College,Bachupally (Qutubullapur),Medchal Malkajgiri,Private Unaided
Malla Reddy College of Engineering,Engineering College,Maisammaguda (Kompally),Medchal Malkajgiri,Private Unaided
Malla Reddy College of Engineering for Women,Engineering College (Women),Maisammaguda (Gundlapochampally),Medchal Malkajgiri,Private Unaided
Malla Reddy Engineering College and Management Sciences,Engineering College,Kistapur (Medchal),Medchal Malkajgiri,Private Unaided
Malla Reddy Institute of Engineering & Technology,Engineering College,Maisammaguda (Kompally),Medchal Malkajgiri,Private Unaided
Malla Reddy Institute of Pharmaceutical Sciences,Pharmacy College,Maisammaguda (Kompally),Medchal Malkajgiri,Private Unaided
Malla Reddy Institute of Technology,Engineering College,Maisammaguda (Kompally),Medchal Malkajgiri,Private Unaided
Malla Reddy Institute of Technology & Science,Engineering College,Maisammaguda (Kompally),Medchal Malkajgiri,Private Unaided
Malla Reddy Pharmacy College,Pharmacy College,Maisammaguda (Kompally),Medchal Malkajgiri,Private Unaided
Marri Laxman Reddy Institute of Pharmacy,Pharmacy College,Dundigal (Quthbullahpur),Medchal Malkajgiri,Private Unaided
Megha Institute of Engineering & Technology for Women,Engineering College (Women),Edulabad (Ghatkesar),Medchal Malkajgiri,Private Unaided
Sreenidhi Institute of Science & Technology,Engineering College,Yamnampet (Ghatkesar),Medchal Malkajgiri,Private Unaided
St. Martin's Engineering College,Engineering College,Dhulapally (Dundigal-Gandimaisamma),Medchal Malkajgiri,Private Unaided
St. Peter's Engineering College,Engineering College,Maisammaguda (Dhulapally),Medchal Malkajgiri,Private Unaided
Vignana Bharathi Institute of Technology (VBIT),Engineering College,Aushapur (Ghatkesar),Medchal Malkajgiri,Private Unaided
VNR Vignana Jyothi Institute of Engineering & Technology,Engineering College,Bachupally (Nizampet),Medchal Malkajgiri,Private Unaided
Government Degree College,Government Degree College,Mulugu,Mulugu,Government
Maharshi Degree College,Degree College,Mulugu,Mulugu,Private Unaided
Nalanda Degree College,Degree College,Mulugu,Mulugu,Private Unaided
Gayatri Degree College,Degree College,Pasra (Govindaraopet),Mulugu,Private Unaided
Government Degree College,Government Degree College,Nagarkurnool,Nagarkurnool,Government
Government Degree College,Government Degree College,Thimmajipet,Nagarkurnool,Government
Government Degree College,Government Degree College,Kollapur,Nagarkurnool,Government
Government Degree College,Government Degree College,Achampet,Nagarkurnool,Government
Government Degree College,Government Degree College,Kalwakurthy,Nagarkurnool,Government
Nagarjuna Government Degree College (Autonomous),Government Degree College,Nalgonda,Nalgonda,Government
Government Degree College,Government Degree College,Devarakonda,Nalgonda,Government
Government Degree College,Government Degree College,Choutuppal,Nalgonda,Government
Government Degree College,Government Degree College,Ramannapet,Nalgonda,Government
Government DIET,Teacher Education (D.El.Ed),Nalgonda,Nalgonda,Government
Gautam Junior College (Girls),Junior College,Nalgonda,Nalgonda,Government
Telangana Residential Junior College,Junior College,Nalgonda,Nalgonda,Government
Government Degree College,Government Degree College,Narayanpet,Narayanpet,Government
Government Degree College,Government Degree College,Kodangal,Narayanpet,Private Aided
Government Degree College,Government Degree College,Makthal,Narayanpet,Government
Govt. Degree College,Government Degree College,Nirmal,Nirmal,Government
Govt. Degree College,Government Degree College,Bhainsa,Nirmal,Government
Govt. Degree College,Government Degree College,Khanapur,Nirmal,Government
Girraj Government Degree College (Autonomous),Government Degree College,Nizamabad,Nizamabad,Government
Govt. Degree College,Government Degree College,Bodhan,Nizamabad,Government
Govt. Degree College,Government Degree College,Yellareddy,Nizamabad,Government
Government DIET,Teacher Education (D.El.Ed),Nizamabad,Nizamabad,Government
Gnanodaya Degree College,Degree College,Nizamabad,Nizamabad,Private Unaided
Nishitha Degree College,Degree College,Nizamabad,Nizamabad,Private Unaided
Government Degree College,Government Degree College,Peddapalli,Peddapalli,Government
Government Degree College,Government Degree College,Manthani,Peddapalli,Government
Government Degree College,Government Degree College,Ramagundam,Peddapalli,Government
Sri Chaitanya Junior College,Junior College,Peddapalli,Peddapalli,Private Unaided
Pragathi Junior College,Junior College,Kalvacherla,Peddapalli,Private Unaided
Pranavi Junior College,Junior College,Manthani,Peddapalli,Private Unaided
Chaitanya Junior College,Junior College,Manthani,Peddapalli,Private Unaided
Sri Vani Junior College,Junior College,Dharmaram,Peddapalli,Private Unaided
Sadana Junior College,Junior College,Dharmaram,Peddapalli,Private Unaided
Jawaharlal Nehru Junior College,Junior College,Julapally,Peddapalli,Private Unaided
Sri Chaitanya Junior College,Junior College,Julapally,Peddapalli,Private Unaided
Trinity Junior College,Junior College,Peddapalli,Peddapalli,Private Unaided
Chanakya Junior College (Incentive),Junior College,Pothakapally,Peddapalli,Private Unaided
Government Degree College,Government Degree College,Agraharam (Sircilla),Rajanna Sircilla,Government
Government Degree College,Government Degree College,Nerella (Gambhirraopet),Rajanna Sircilla,Government
Agricultural College,Agricultural College,Sirsilla,Rajanna Sircilla,Government
Government Medical College,Medical College,Rajanna Sircilla,Rajanna Sircilla,Government
Government College of Nursing,Nursing College,Rajanna Sircilla,Rajanna Sircilla,Government
JNTUH University College of Engineering Rajanna Sircilla,University Engineering College,Rajanna Sircilla,Rajanna Sircilla,Government
Telangana Social Welfare Residential Degree College for Women,Residential Degree College (Women),Sircilla,Rajanna Sircilla,Government Social Welfare
Telangana Tribal Welfare Residential Degree College for Women,Residential Degree College (Women),Sircilla,Rajanna Sircilla,Government Tribal Welfare
Mahatma Jyotiba Phule Telangana Backward Classes Welfare Residential Degree College for Men,Residential Degree College (Men),Yellareddypet,Rajanna Sircilla,Government TBCW
Ayyappa Degree College,Degree College,Sircilla,Rajanna Sircilla,Private Unaided
Sri Vivekananda Degree College,Degree College,Rajanna Sircilla,Rajanna Sircilla,Private Unaided
Jawaharlal Nehru College of Education,B.Ed College,Mallaram Road (Vemulawada),Rajanna Sircilla,Private Unaided
S A P Arts & Science College,Degree College,Vikarabad,Rangareddy,Private Aided
Dr Br Ambedkar (Voc) Jr College,Junior College (Vocational),Vikarabad,Rangareddy,Private Unaided
Govt Jr College,Junior College,Tandur,Rangareddy,Government
Dr B R Ambedkar Voc Jr College,Junior College (Vocational),Tandur,Rangareddy,Private Unaided
Govt Jr College,Junior College,Medchal,Rangareddy,Government
Govt Jr College,Junior College,Chevella,Rangareddy,Government
Samata (Voc) Jr College,Junior College (Vocational),Moinabad,Rangareddy,Private Unaided
Govt Junior College,Junior College,Pargi,Rangareddy,Government
P J (Voc) Jr College,Junior College (Vocational),Parigi,Rangareddy,Private Unaided
Sri Sai (Voc) Jr College,Junior College (Vocational),Parigi,Rangareddy,Private Unaided
Govt Junior College,Junior College,Marpalli,Rangareddy,Government
Govt Junior College,Junior College,Shamshabad,Rangareddy,Government
Ramaiah (Voc) Jr College,Junior College (Vocational),Shamshabad,Rangareddy,Private Unaided
Govt Junior College,Junior College,Rajendra Nagar,Rangareddy,Government
Megacity Voc Jr College,Junior College (Vocational),Kalapathar,Rangareddy,Private Unaided
A P S W Res Jr College For Boys,Residential Junior College (Boys),Chilkoor,Rangareddy,Government
A P S W R Jr College (Girls),Residential Junior College (Girls),Gowliddodi (Serilingampally),Rangareddy,Government
Zenith (Voc) Jr College,Junior College (Vocational),Attapur (Rajendra Nagar),Rangareddy,Private Unaided
A P S W R Voc Jr College For Girls,Residential Junior College (Vocational Girls),Narsingi,Rangareddy,Government
Holy Fatima (Voc) Jr College (Girls),Junior College (Vocational Girls),Bandlaguda (Rajendarnagar),Rangareddy,Private Unaided
St Ann'S Jr College For Girls,Junior College (Girls),Bolaram (Secunderabad),Rangareddy,Private Unaided
Leo Voc Jr College,Junior College (Vocational),Shameerpet,Rangareddy,Private Unaided
A P S W R Jr College (Girls),Residential Junior College (Girls),Bachiguda (Rangareddy),Rangareddy,Government
Sri Saraswathi Degree College,Degree College,Rangareddy,Rangareddy,Private Unaided
A P Government Institute of Leather Technology,Polytechnic College,Hussain Shawali Darga (Golconda),Rangareddy,Government
Annamacharya Institute of Technology & Sciences,Engineering College,Piglipe (Hayathnagar),Rangareddy,Private Unaided
Arjun College of Technology and Science,Engineering College,Batasingaram (Hayathnagar),Rangareddy,Private Unaided
Avanthi Scientific Technological & Research Academy,Engineering College,Gunthapally (Hayathnagar),Rangareddy,Private Unaided
Bandari Srinivas Institute of Technology,Engineering College,Gollapally (Chevella),Rangareddy,Private Unaided
Brilliant Grammar School Educational Society Group of Institutions,Engineering College,Abdullapur (Hayathnagar),Rangareddy,Private Unaided
Brilliant Institute of Engineering & Technology,Engineering College,Abdullapur (Hayathnagar),Rangareddy,Private Unaided
Government Polytechnic For Women (Minorities),Polytechnic College (Women),L B Nagar,Rangareddy,Government
Government Polytechnic Maheshwaram,Polytechnic College,Maheshwaram,Rangareddy,Government
Government Polytechnic,Polytechnic College,Vikarabad,Rangareddy,Government
Holy Mary Institute of Technology & Science,Engineering College,Bogaram (Keesara),Rangareddy,Private Unaided
Kasireddy Narayan Reddy College of Engineering & Research,Engineering College,Abdullapur (Hayathnagar),Rangareddy,Private Unaided
Megha Institute of Engineering and Technology For Women,Engineering College (Women),Edulabad (Ghatkesar),Rangareddy,Private Unaided
Omega Business School,Management College,Edulabad (Ghatkesar),Rangareddy,Private Unaided
Princeton Institute of Engineering & Technology For Women,Engineering College (Women),Chowdaryguda (Ghatkesar),Rangareddy,Private Unaided
Sagar Group of Institutions,Engineering College,Chevella,Rangareddy,Private Unaided
Samskruti College of Engineering and Technology,Engineering College,Kondapur (Ghatkesar),Rangareddy,Private Unaided
Siddhartha Institute of Technology and Sciences,Engineering College,Narapally (Ghatkesar),Rangareddy,Private Unaided
Sree Dattha Institute of Engineering and Science,Engineering College,Sheriguda (Ibrahimpatnam),Rangareddy,Private Unaided
Sri Chaitanya Technical Campus,Engineering College,Sheriguda (Ibrahimpatnam),Rangareddy,Private Unaided
St Mary's Engineering College,Engineering College,Deshmukhi (Pochampally),Rangareddy,Private Unaided
Teegala Krishna Reddy Engineering College,Engineering College,Medbowli (Meerpet),Rangareddy,Private Unaided
Tkr College of Engineering & Technology,Engineering College,Medbowli (Meerpet),Rangareddy,Private Unaided
National Academy of Agricultural Research Management,Specialized College,Rajendranagar,Rangareddy,Government
National Institute of Agricultural Extension Management,Specialized College,Rajendranagar,Rangareddy,Government
National Institute of Rural Development and Panchayati Raj,Specialized College,Rajendranagar,Rangareddy,Government
Ellenki College of Engineering and Technology,Engineering College,Sangareddy,Sangareddy,Private Unaided
Ellenki Institute of Engineering and Technology,Engineering College,Sangareddy,Sangareddy,Private Unaided
MNR College of Engineering and Technology,Engineering College,Sangareddy,Sangareddy,Private Unaided
RRS College Of Engineering and Technology,Engineering College,Sangareddy,Sangareddy,Private Unaided
TRR College of Engineering,Engineering College,Sangareddy,Sangareddy,Private Unaided
MNR College of Pharmacy,Pharmacy College,Sangareddy,Sangareddy,Private Unaided
BV Raju Institute of Technology (BVRIT),Engineering College,Narsapur,Sangareddy,Private Unaided
Govt. Degree College,Government Degree College,Zahirabad,Sangareddy,Government
Government Medical College,Medical College,Sangareddy,Sangareddy,Government
Adarsha Degree College,Degree College,Siddipet,Siddipet,Private Unaided
Sri Venkateshwara Degree College,Degree College,Gajwel,Siddipet,Private Unaided
Nagarjuna Degree and P.G. College,Degree & PG College,Mutrajpally Road,Siddipet,Private Unaided
Government Degree College,Government Degree College,Siddipet,Siddipet,Government
Government Polytechnic,Polytechnic College,Siddipet,Siddipet,Government
Sri Venkateshwara Degree College,Degree College,Reddygudem (Alair),Yadadri Bhuvanagiri,Private Unaided
SLNS Degree College,Degree College,Yadagirigutta,Yadadri Bhuvanagiri,Private Unaided
Immanuel Business School,Management College,Yadadri Bhongir,Yadadri Bhuvanagiri,Private Unaided
Government Degree College,Government Degree College,Ramannapet,Yadadri Bhuvanagiri,Government
Sri Saraswathi Degree College,Degree College,Suryapet,Suryapet,Private Unaided
Government Polytechnic For Women,Polytechnic College (Women),Tallagadda (Suryapet),Suryapet,Government
Srujana College of Diploma In Engineering & Technology,Polytechnic College,Durajpally (Chivemla),Suryapet,Private Unaided
Government Degree College,Government Degree College,Vikarabad,Vikarabad,Government
Peoples College,Degree College,Tandur,Vikarabad,Private Unaided
Pallavi Degree College,Degree College,Pargi,Vikarabad,Private Unaided
College of Fishery Science,Specialized College,Pebbair,Wanaparthy,Government
College of Horticulture,Specialized College,Mojerla,Wanaparthy,Government (SKLTSHU)
Government Medical College,Medical College,Wanaparthy,Wanaparthy,Government
JNTUH University College of Engineering,University Engineering College,Wanaparthy,Wanaparthy,Government
MJPTBCWR B.Sc (Hons.) College for Women,Residential Degree College (Women),Wanaparthy,Wanaparthy,Government TBCW
Government Degree College,Government Degree College,Wanaparthy,Wanaparthy,Government
Government Degree College,Government Degree College,Kothakota,Wanaparthy,Government
Government Degree College,Government Degree College,Atmakur,Wanaparthy,Government
AVV Degree College,Degree College,SVN Road (Warangal),Warangal,Private Unaided
Ekashila Degree College,Degree College,Jangaon,Warangal,Private Unaided
Vignana Bharathi Degree College,Degree College,Mahabubabad,Warangal,Private Unaided
Dr. M.R. Reddy Degree College,Degree College,Parkal,Warangal,Private Unaided
Aurora College,Degree College,Vidyaranyapuri (Hanamakonda),Warangal,Private Unaided
Sai Ram College,Degree College,Thorrur,Warangal,Private Unaided
Samatha Degree College,Degree College,Thorrur,Warangal,Private Unaided
Mahaboobia Paunjetan College,Degree College,Narasampet Road (Warangal),Warangal,Private Unaided
Thushara Degree College,Degree College,Subedari (Hanamakonda),Warangal,Private Unaided
Sri Gayatri Degree College,Degree College,Ramnagar (Hanamakonda),Warangal,Private Unaided
Bharathi Degree College,Degree College,Kothawada (Warangal),Warangal,Private Unaided
Vasavi Degree College,Degree College,Mahabubabad,Warangal,Private Unaided
Sri Chaitanya Degree College,Degree College,Chariyal,Warangal,Private Unaided
Siddhartha Degree College,Degree College,Chennaraopet,Warangal,Private Unaided
Sri Chaitanya Degree College,Degree College,Narsampet,Warangal,Private Unaided
S.V. Degree College,Degree College,Parkal,Warangal,Private Unaided
Government Degree College,Government Degree College,Narsampet,Warangal,Government
Government Degree College,Government Degree College,Warangal,Warangal,Government
JNTUH College of Engineering Warangal,University Engineering College,Warangal,Warangal,Government (INI)
Pingle Government College for Women (Autonomous),Government Degree College (Women),Waddepally (Warangal),Warangal,Government
